"photo-13279251_326200869";"http://cs540103.vk.me/c540101/v540101826/13de5/OrrYs4KD1sc.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 40 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Белый+Черый";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 40 - 46";"Белый+Черый";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_315946689";"http://cs419430.vk.me/v419430826/97a2/Cw-xHpNOagQ.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 36 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Красный";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 36 - 46";"Красный";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355643777";"http://cs540103.vk.me/c540101/v540101826/4691f/hEbI2FzVpAk.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 36 - 40<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Розовый";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 36 - 40";"Розовый";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355643786";"http://cs540103.vk.me/c540101/v540101826/4693c/Eh85ze3iE5s.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 36 - 40<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Розовый";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 36 - 40";"Розовый";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355643776";"http://cs540103.vk.me/c540101/v540101826/46917/0T1Pu8LUBJk.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 40 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Синий";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 40 - 46";"Синий";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355643783";"http://cs540103.vk.me/c540101/v540101826/46935/LmSmQqKQmRE.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 40 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Синий";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 40 - 46";"Синий";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355643782";"http://cs540103.vk.me/c540101/v540101826/4692e/KPJj6P9DOt4.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 40 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Синий";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 40 - 46";"Синий";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355643781";"http://cs540103.vk.me/c540101/v540101826/46926/cqus8n7cpIo.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 40 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Синий";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 40 - 46";"Синий";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_289146059";"http://cs407722.vk.me/v407722826/33a0/CvHWntB4bac.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 36 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Черный";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 36 - 46";"Черный";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_289146050";"http://cs407722.vk.me/v407722826/3380/FBj7EbcvW7U.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 36 - 40<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Черный+Фиолетовый";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 36 - 40";"Черный+Фиолетовый";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_326200871";"http://cs540103.vk.me/c540101/v540101826/13ded/diRoJ3d9uXs.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 36 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Черный+Красный";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 36 - 46";"Черный+Красный";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301666190";"http://cs403828.vk.me/v403828826/6c18/hTqD_qa58x8.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 36 - 40<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Черный+Розовый";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 36 - 40";"Черный+Розовый";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_306447940";"http://cs320118.vk.me/v320118826/3ab7/-UciLCr1JPE.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 36 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Белый+Оранжевый";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 36 - 46";"Белый+Оранжевый";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301666204";"http://cs403828.vk.me/v403828826/6c28/18epl2Wl_64.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 40 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Белый+Бордовый";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 40 - 46";"Белый+Бордовый";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301666189";"http://cs403828.vk.me/v403828826/6c10/ImViXskGVls.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 36 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Серый+Фиолетовый";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 36 - 46";"Серый+Фиолетовый";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301666219";"http://cs403828.vk.me/v403828826/6c40/JG6p_qoUQrk.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 40 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Серый+Оранжевый";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 40 - 46";"Серый+Оранжевый";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301666216";"http://cs403828.vk.me/v403828826/6c38/wEAsLvpEm7k.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 40 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Серый+Оранжевый";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 40 - 46";"Серый+Оранжевый";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301666220";"http://cs403828.vk.me/v403828826/6c48/2aB3yWtvxxk.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 40 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Серый+Оранжевый";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 40 - 46";"Серый+Оранжевый";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301666209";"http://cs403828.vk.me/v403828826/6c30/FZkEqRGQKFI.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 40 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Серый+Оранжевый";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 40 - 46";"Серый+Оранжевый";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295949967";"http://cs410724.vk.me/v410724826/6736/DI2WbHQj0bA.jpg";"Nike Air Max 90<br/>Цена: 1000 грн. <br/>Размеры: 36 - 46<br/>Материал: кожа, сетка, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20002<br/>Белый";"Nike Air Max 90";1000;"NK20002";" 36 - 46";"Белый";"<h1>Nike Air Max 90</h1><br/><b>Материал:</b> кожа, сетка, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301670406";"http://cs403828.vk.me/v403828826/6c58/nnIDPWBFer8.jpg";"Nike Air Max 90<br/>Цена: 1000 грн. <br/>Размеры: 36 - 46<br/>Материал: кожа, сетка, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20002<br/>Белый+Зеленый";"Nike Air Max 90";1000;"NK20002";" 36 - 46";"Белый+Зеленый";"<h1>Nike Air Max 90</h1><br/><b>Материал:</b> кожа, сетка, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295954989";"http://cs410724.vk.me/v410724826/679e/MFgVuqWYeqQ.jpg";"Nike Air Max 90<br/>Цена: 1000 грн. <br/>Размеры: 40 - 46<br/>Материал: кожа, сетка, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20002<br/>Белый+Черный";"Nike Air Max 90";1000;"NK20002";" 40 - 46";"Белый+Черный";"<h1>Nike Air Max 90</h1><br/><b>Материал:</b> кожа, сетка, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295949957";"http://cs410724.vk.me/v410724826/6716/loFlDAslun8.jpg";"Nike Air Max 90<br/>Цена: 1000 грн. <br/>Размеры: 36 - 46<br/>Материал: кожа, сетка, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20002<br/>Белый+Бордовый";"Nike Air Max 90";1000;"NK20002";" 36 - 46";"Белый+Бордовый";"<h1>Nike Air Max 90</h1><br/><b>Материал:</b> кожа, сетка, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295949941";"http://cs410724.vk.me/v410724826/66d6/FXU6-4dnd-U.jpg";"Nike Air Max 90<br/>Цена: 1000 грн. <br/>Размеры: 36 - 46<br/>Материал: кожа, сетка, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20002<br/>Белый+Желтый";"Nike Air Max 90";1000;"NK20002";" 36 - 46";"Белый+Желтый";"<h1>Nike Air Max 90</h1><br/><b>Материал:</b> кожа, сетка, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295954993";"http://cs410724.vk.me/v410724826/67ae/UquIGQSBKIw.jpg";"Nike Air Max 90<br/>Цена: 1000 грн. <br/>Размеры: 36 - 46<br/>Материал: кожа, сетка, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20002<br/>Черный";"Nike Air Max 90";1000;"NK20002";" 36 - 46";"Черный";"<h1>Nike Air Max 90</h1><br/><b>Материал:</b> кожа, сетка, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295949948";"http://cs410724.vk.me/v410724826/66f6/39xxwI5bS4I.jpg";"Nike Air Max 90<br/>Цена: 1000 грн. <br/>Размеры: 36 - 46<br/>Материал: кожа, сетка, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20002<br/>Черный+Зеленый";"Nike Air Max 90";1000;"NK20002";" 36 - 46";"Черный+Зеленый";"<h1>Nike Air Max 90</h1><br/><b>Материал:</b> кожа, сетка, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295949943";"http://cs410724.vk.me/v410724826/66de/KBem7DWRCk8.jpg";"Nike Air Max 90<br/>Цена: 1000 грн. <br/>Размеры: 36 - 46<br/>Материал: кожа, сетка, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20002<br/>Черный+Бордовый";"Nike Air Max 90";1000;"NK20002";" 36 - 46";"Черный+Бордовый";"<h1>Nike Air Max 90</h1><br/><b>Материал:</b> кожа, сетка, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295954981";"http://cs410724.vk.me/v410724826/6786/XEZu1gYxtCM.jpg";"Nike Air Max 90<br/>Цена: 1000 грн. <br/>Размеры: 40 - 46<br/>Материал: кожа, сетка, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20002<br/>Черный+Красный";"Nike Air Max 90";1000;"NK20002";" 40 - 46";"Черный+Красный";"<h1>Nike Air Max 90</h1><br/><b>Материал:</b> кожа, сетка, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295949950";"http://cs410724.vk.me/v410724826/66fe/Y4VD-ddFeEs.jpg";"Nike Air Max 90<br/>Цена: 1000 грн. <br/>Размеры: 36 - 46<br/>Материал: кожа, сетка, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20002<br/>Черный+Оранжевый";"Nike Air Max 90";1000;"NK20002";" 36 - 46";"Черный+Оранжевый";"<h1>Nike Air Max 90</h1><br/><b>Материал:</b> кожа, сетка, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295949959";"http://cs410724.vk.me/v410724826/671e/QXX2gUWdUSI.jpg";"Nike Air Max 90<br/>Цена: 1000 грн. <br/>Размеры: 36 - 40<br/>Материал: кожа, сетка, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20002<br/>Коричневый";"Nike Air Max 90";1000;"NK20002";" 36 - 40";"Коричневый";"<h1>Nike Air Max 90</h1><br/><b>Материал:</b> кожа, сетка, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295954991";"http://cs410724.vk.me/v410724826/67a6/3AJOCWSBjX4.jpg";"Nike Air Max 90<br/>Цена: 1000 грн. <br/>Размеры: 40 - 46<br/>Материал: кожа, сетка, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20002<br/>Серый+Зеленый";"Nike Air Max 90";1000;"NK20002";" 40 - 46";"Серый+Зеленый";"<h1>Nike Air Max 90</h1><br/><b>Материал:</b> кожа, сетка, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301229856";"http://cs306603.vk.me/v306603826/9c7b/TgXen7H6Ktw.jpg";"Nike Air Max 90<br/>Цена: 1000 грн. <br/>Размеры: 36 - 46<br/>Материал: кожа, сетка, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20002<br/>Серый+Желтый";"Nike Air Max 90";1000;"NK20002";" 36 - 46";"Серый+Желтый";"<h1>Nike Air Max 90</h1><br/><b>Материал:</b> кожа, сетка, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301229857";"http://cs306603.vk.me/v306603826/9c83/J6TB-oOzS5c.jpg";"Nike Air Max 90<br/>Цена: 1000 грн. <br/>Размеры: 36 - 46<br/>Материал: кожа, сетка, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20002<br/>Серый+Оранжевый";"Nike Air Max 90";1000;"NK20002";" 36 - 46";"Серый+Оранжевый";"<h1>Nike Air Max 90</h1><br/><b>Материал:</b> кожа, сетка, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295949951";"http://cs410724.vk.me/v410724826/6706/FSMon842PG4.jpg";"Nike Air Max 90<br/>Цена: 1000 грн. <br/>Размеры: 36 - 46<br/>Материал: кожа, сетка, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20002<br/>Серый+Коралловый";"Nike Air Max 90";1000;"NK20002";" 36 - 46";"Серый+Коралловый";"<h1>Nike Air Max 90</h1><br/><b>Материал:</b> кожа, сетка, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_295949968";"http://cs410724.vk.me/v410724826/673e/vrBcxIxZs3I.jpg";"Nike Air Max 90<br/>Цена: 1000 грн. <br/>Размеры: 36 - 40<br/>Материал: кожа, сетка, текстиль<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20002<br/>Бирюзовый";"Nike Air Max 90";1000;"NK20002";" 36 - 40";"Бирюзовый";"<h1>Nike Air Max 90</h1><br/><b>Материал:</b> кожа, сетка, текстиль<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
