"photo-13279251_301464311";"http://cs416522.vk.me/v416522826/5949/416yZ_AGYT8.jpg";"Мокасины женские<br/>Цена: 910 грн.<br/>Размеры: 35-39<br/>Материал: натур. замша<br/>Сезон: весна, лето, осень<br/>KR10004<br/>Черный";"Мокасины женские";910;"KR10004";" 35-39";"Черный";"<h1>Мокасины женские</h1><br/><b>Материал:</b> натур. замша<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301465072";"http://cs323721.vk.me/v323721826/575f/BXE2Ho0EzfI.jpg";"Мокасины женские классические<br/>Цена: 920 грн.<br/>Размеры: 35-40<br/>Материал: натур. замша<br/>Подошва: резиновые шипы<br/>Сезон: весна, лето, осень<br/>KR10011<br/>Бежевый";"Мокасины женские классические";920;"KR10011";" 35-40";"Бежевый";"<h1>Мокасины женские классические</h1><br/><b>Материал:</b> натур. замша<br/><b>Подошва:</b> резиновые шипы<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301465075";"http://cs323721.vk.me/v323721826/5767/mphB5kCsOyY.jpg";"Мокасины женские классические<br/>Цена: 920 грн.<br/>Размеры: 35-40<br/>Материал: натур. замша<br/>Подошва: резиновые шипы<br/>Сезон: весна, лето, осень<br/>KR10011<br/>Рыжий";"Мокасины женские классические";920;"KR10011";" 35-40";"Рыжий";"<h1>Мокасины женские классические</h1><br/><b>Материал:</b> натур. замша<br/><b>Подошва:</b> резиновые шипы<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301465069";"http://cs323721.vk.me/v323721826/5758/EaMwgkhSxX0.jpg";"Мокасины женские классические<br/>Цена: 920 грн.<br/>Размеры: 35-40<br/>Материал: натур. замша<br/>Подошва: резиновые шипы<br/>Сезон: весна, лето, осень<br/>KR10011<br/>Черный";"Мокасины женские классические";920;"KR10011";" 35-40";"Черный";"<h1>Мокасины женские классические</h1><br/><b>Материал:</b> натур. замша<br/><b>Подошва:</b> резиновые шипы<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301465077";"http://cs323721.vk.me/v323721826/576f/j4UONy0a0so.jpg";"Мокасины женские классические<br/>Цена: 920 грн.<br/>Размеры: 35-40<br/>Материал: натур. замша<br/>Подошва: резиновые шипы<br/>Сезон: весна, лето, осень<br/>KR10011<br/>Серый";"Мокасины женские классические";920;"KR10011";" 35-40";"Серый";"<h1>Мокасины женские классические</h1><br/><b>Материал:</b> натур. замша<br/><b>Подошва:</b> резиновые шипы<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301465066";"http://cs323721.vk.me/v323721826/5743/GevYM6mK3a4.jpg";"Мокасины женские классические<br/>Цена: 920 грн.<br/>Размеры: 35-40<br/>Материал: натур. замша<br/>Подошва: резиновые шипы<br/>Сезон: весна, лето, осень<br/>KR10011<br/>Бежевый";"Мокасины женские классические";920;"KR10011";" 35-40";"Бежевый";"<h1>Мокасины женские классические</h1><br/><b>Материал:</b> натур. замша<br/><b>Подошва:</b> резиновые шипы<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301465068";"http://cs323721.vk.me/v323721826/5751/vvNkS_AAErw.jpg";"Мокасины женские классические<br/>Цена: 920 грн.<br/>Размеры: 35-40<br/>Материал: натур. замша<br/>Подошва: резиновые шипы<br/>Сезон: весна, лето, осень<br/>KR10011<br/>Рыжий";"Мокасины женские классические";920;"KR10011";" 35-40";"Рыжий";"<h1>Мокасины женские классические</h1><br/><b>Материал:</b> натур. замша<br/><b>Подошва:</b> резиновые шипы<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301465078";"http://cs323721.vk.me/v323721826/5777/4eL43O5m4CY.jpg";"Мокасины женские классические<br/>Цена: 920 грн.<br/>Размеры: 35-40<br/>Материал: натур. замша<br/>Подошва: резиновые шипы<br/>Сезон: весна, лето, осень<br/>KR10011<br/>Красный";"Мокасины женские классические";920;"KR10011";" 35-40";"Красный";"<h1>Мокасины женские классические</h1><br/><b>Материал:</b> натур. замша<br/><b>Подошва:</b> резиновые шипы<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301465080";"http://cs323721.vk.me/v323721826/577f/e82ZmXkQdzs.jpg";"Мокасины женские классические<br/>Цена: 920 грн.<br/>Размеры: 35-40<br/>Материал: натур. замша<br/>Подошва: резиновые шипы<br/>Сезон: весна, лето, осень<br/>KR10011<br/>Бирюзовый";"Мокасины женские классические";920;"KR10011";" 35-40";"Бирюзовый";"<h1>Мокасины женские классические</h1><br/><b>Материал:</b> натур. замша<br/><b>Подошва:</b> резиновые шипы<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302079961";"http://cs419930.vk.me/v419930826/5021/Tzquzpbttws.jpg";"Криперы классические замша<br/>Цена: 750 грн.<br/>Размеры: 35-40<br/>Материал: искуст. замша<br/>Подошва: пена<br/>Высота подошвы: 5 см<br/>Сезон: весна, лето, осень<br/>KR10016<br/>Черный";"Криперы классические замша";750;"KR10016";" 35-40";"Черный";"<h1>Криперы классические замша</h1><br/><b>Материал:</b> искуст. замша<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 5 см<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302079943";"http://cs419930.vk.me/v419930826/4fe9/I1IcArthjrY.jpg";"Криперы классические замша<br/>Цена: 750 грн.<br/>Размеры: 35-40<br/>Материал: искуст. замша<br/>Подошва: пена<br/>Высота подошвы: 5 см<br/>Сезон: весна, лето, осень<br/>KR10016<br/>Голубой";"Криперы классические замша";750;"KR10016";" 35-40";"Голубой";"<h1>Криперы классические замша</h1><br/><b>Материал:</b> искуст. замша<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 5 см<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302079950";"http://cs419930.vk.me/v419930826/4ff9/z13f-123cy0.jpg";"Криперы классические замша<br/>Цена: 750 грн.<br/>Размеры: 35-40<br/>Материал: искуст. замша<br/>Подошва: пена<br/>Высота подошвы: 5 см<br/>Сезон: весна, лето, осень<br/>KR10016<br/>Бордовый";"Криперы классические замша";750;"KR10016";" 35-40";"Бордовый";"<h1>Криперы классические замша</h1><br/><b>Материал:</b> искуст. замша<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 5 см<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302079969";"http://cs419930.vk.me/v419930826/503a/jQS7SkyWGX4.jpg";"Криперы классические замша<br/>Цена: 750 грн.<br/>Размеры: 35-40<br/>Материал: искуст. замша<br/>Подошва: пена<br/>Высота подошвы: 5 см<br/>Сезон: весна, лето, осень<br/>KR10016<br/>Фиолетовый";"Криперы классические замша";750;"KR10016";" 35-40";"Фиолетовый";"<h1>Криперы классические замша</h1><br/><b>Материал:</b> искуст. замша<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 5 см<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302079974";"http://cs419930.vk.me/v419930826/504a/bFE3gqdHlYE.jpg";"Криперы классические замша<br/>Цена: 750 грн.<br/>Размеры: 35-40<br/>Материал: искуст. замша<br/>Подошва: пена<br/>Высота подошвы: 5 см<br/>Сезон: весна, лето, осень<br/>KR10016<br/>Фиолетовый";"Криперы классические замша";750;"KR10016";" 35-40";"Фиолетовый";"<h1>Криперы классические замша</h1><br/><b>Материал:</b> искуст. замша<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 5 см<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302079956";"http://cs419930.vk.me/v419930826/5009/gTiLPzA-mIU.jpg";"Криперы классические кожа<br/>Цена: 750 грн.<br/>Размеры: 35-40<br/>Материал: PU<br/>Подошва: пена<br/>Высота подошвы: 5 см<br/>Сезон: весна, лето, осень<br/>KR10017<br/>Белый";"Криперы классические кожа";750;"KR10017";" 35-40";"Белый";"<h1>Криперы классические кожа</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 5 см<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302079985";"http://cs419930.vk.me/v419930826/505a/ktORM2vbSJA.jpg";"Криперы классические кожа<br/>Цена: 750 грн.<br/>Размеры: 35-40<br/>Материал: PU<br/>Подошва: пена<br/>Высота подошвы: 5 см<br/>Сезон: весна, лето, осень<br/>KR10017<br/>Полностью черный";"Криперы классические кожа";750;"KR10017";" 35-40";"Полностью черный";"<h1>Криперы классические кожа</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 5 см<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302079989";"http://cs419930.vk.me/v419930826/5062/HtDqKL44dgQ.jpg";"Криперы классические кожа<br/>Цена: 750 грн.<br/>Размеры: 35-40<br/>Материал: PU<br/>Подошва: пена<br/>Высота подошвы: 5 см<br/>Сезон: весна, лето, осень<br/>KR10017<br/>Черный";"Криперы классические кожа";750;"KR10017";" 35-40";"Черный";"<h1>Криперы классические кожа</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 5 см<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302079966";"http://cs419930.vk.me/v419930826/5031/2jDkJ3hkB7s.jpg";"Криперы классические кожа<br/>Цена: 750 грн.<br/>Размеры: 35-40<br/>Материал: PU<br/>Подошва: пена<br/>Высота подошвы: 5 см<br/>Сезон: весна, лето, осень<br/>KR10017<br/>Черный";"Криперы классические кожа";750;"KR10017";" 35-40";"Черный";"<h1>Криперы классические кожа</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 5 см<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302079971";"http://cs419930.vk.me/v419930826/5042/ggm05wmuO2s.jpg";"Криперы классические кожа<br/>Цена: 750 грн.<br/>Размеры: 35-40<br/>Материал: PU<br/>Подошва: пена<br/>Высота подошвы: 5 см<br/>Сезон: весна, лето, осень<br/>KR10017<br/>Черный";"Криперы классические кожа";750;"KR10017";" 35-40";"Черный";"<h1>Криперы классические кожа</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 5 см<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302079954";"http://cs419930.vk.me/v419930826/5001/N3oDYCqO1Cc.jpg";"Криперы классические кожа<br/>Цена: 750 грн.<br/>Размеры: 35-40<br/>Материал: PU<br/>Подошва: пена<br/>Высота подошвы: 5 см<br/>Сезон: весна, лето, осень<br/>KR10017<br/>Черный+Красный";"Криперы классические кожа";750;"KR10017";" 35-40";"Черный+Красный";"<h1>Криперы классические кожа</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 5 см<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302079960";"http://cs419930.vk.me/v419930826/5019/E-jmVLkLFX0.jpg";"Криперы классические кожа<br/>Цена: 750 грн.<br/>Размеры: 35-40<br/>Материал: PU<br/>Подошва: пена<br/>Высота подошвы: 5 см<br/>Сезон: весна, лето, осень<br/>KR10017<br/>Черный+Белый";"Криперы классические кожа";750;"KR10017";" 35-40";"Черный+Белый";"<h1>Криперы классические кожа</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 5 см<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302079977";"http://cs419930.vk.me/v419930826/5052/pIk-UX_2qm4.jpg";"Криперы классические кожа<br/>Цена: 750 грн.<br/>Размеры: 35-40<br/>Материал: PU<br/>Подошва: пена<br/>Высота подошвы: 5 см<br/>Сезон: весна, лето, осень<br/>KR10017<br/>Черный+Тигровый";"Криперы классические кожа";750;"KR10017";" 35-40";"Черный+Тигровый";"<h1>Криперы классические кожа</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 5 см<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302079963";"http://cs419930.vk.me/v419930826/5029/UKBnFzBw_e4.jpg";"Криперы классические кожа<br/>Цена: 750 грн.<br/>Размеры: 35-40<br/>Материал: PU<br/>Подошва: пена<br/>Высота подошвы: 5 см<br/>Сезон: весна, лето, осень<br/>KR10017<br/>Черный+Змея";"Криперы классические кожа";750;"KR10017";" 35-40";"Черный+Змея";"<h1>Криперы классические кожа</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 5 см<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302079959";"http://cs419930.vk.me/v419930826/5011/CEnxRpiye90.jpg";"Криперы под змею<br/>Цена: 770 грн.<br/>Размеры: 35-40<br/>Материал: PU<br/>Подошва: пена<br/>Высота подошвы: 5 см<br/>Сезон: весна, лето, осень<br/>KR10018<br/>Бежевый";"Криперы под змею";770;"KR10018";" 35-40";"Бежевый";"<h1>Криперы под змею</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 5 см<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302079946";"http://cs419930.vk.me/v419930826/4ff1/GfY95znBLVs.jpg";"Криперы под змею<br/>Цена: 770 грн.<br/>Размеры: 35-40<br/>Материал: PU<br/>Подошва: пена<br/>Высота подошвы: 5 см<br/>Сезон: весна, лето, осень<br/>KR10018<br/>Серый";"Криперы под змею";770;"KR10018";" 35-40";"Серый";"<h1>Криперы под змею</h1><br/><b>Материал:</b> PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 5 см<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302081113";"http://cs419930.vk.me/v419930826/518c/ZPDorNX4Bhk.jpg";"Криперы 3 см.<br/>Цена: 730 грн.<br/>Размеры: 35-40<br/>Материал: искст. замша/PU<br/>Подошва: пена<br/>Высота подошвы: 3 см.<br/>Сезон: весна, лето, осень<br/>KR10019<br/>Бордовый";"Криперы 3 см.";730;"KR10019";" 35-40";"Бордовый";"<h1>Криперы 3 см.</h1><br/><b>Материал:</b> искст. замша/PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 3 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302081120";"http://cs419930.vk.me/v419930826/51a9/9yPKYXNTCbU.jpg";"Криперы 3 см.<br/>Цена: 730 грн.<br/>Размеры: 35-40<br/>Материал: искст. замша/PU<br/>Подошва: пена<br/>Высота подошвы: 3 см.<br/>Сезон: весна, лето, осень<br/>KR10019<br/>Бордовый";"Криперы 3 см.";730;"KR10019";" 35-40";"Бордовый";"<h1>Криперы 3 см.</h1><br/><b>Материал:</b> искст. замша/PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 3 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302080562";"http://cs419930.vk.me/v419930826/5126/G4fpiN64D8c.jpg";"Криперы 3 см.<br/>Цена: 730 грн.<br/>Размеры: 35-40<br/>Материал: искст. замша/PU<br/>Подошва: пена<br/>Высота подошвы: 3 см.<br/>Сезон: весна, лето, осень<br/>KR10019<br/>Бордовый";"Криперы 3 см.";730;"KR10019";" 35-40";"Бордовый";"<h1>Криперы 3 см.</h1><br/><b>Материал:</b> искст. замша/PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 3 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302080548";"http://cs419930.vk.me/v419930826/50ee/0KeQAyu1BRA.jpg";"Криперы 3 см.<br/>Цена: 730 грн.<br/>Размеры: 35-40<br/>Материал: искст. замша/PU<br/>Подошва: пена<br/>Высота подошвы: 3 см.<br/>Сезон: весна, лето, осень<br/>KR10019<br/>Бордовый";"Криперы 3 см.";730;"KR10019";" 35-40";"Бордовый";"<h1>Криперы 3 см.</h1><br/><b>Материал:</b> искст. замша/PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 3 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302080551";"http://cs419930.vk.me/v419930826/50f6/DwM37PpVpU4.jpg";"Криперы 3 см.<br/>Цена: 730 грн.<br/>Размеры: 35-40<br/>Материал: искст. замша/PU<br/>Подошва: пена<br/>Высота подошвы: 3 см.<br/>Сезон: весна, лето, осень<br/>KR10019<br/>Бордовый";"Криперы 3 см.";730;"KR10019";" 35-40";"Бордовый";"<h1>Криперы 3 см.</h1><br/><b>Материал:</b> искст. замша/PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 3 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302081117";"http://cs419930.vk.me/v419930826/51a2/tZeu0YWOh7w.jpg";"Криперы 3 см.<br/>Цена: 730 грн.<br/>Размеры: 35-40<br/>Материал: искст. замша/PU<br/>Подошва: пена<br/>Высота подошвы: 3 см.<br/>Сезон: весна, лето, осень<br/>KR10019<br/>Черный";"Криперы 3 см.";730;"KR10019";" 35-40";"Черный";"<h1>Криперы 3 см.</h1><br/><b>Материал:</b> искст. замша/PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 3 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302081123";"http://cs419930.vk.me/v419930826/51b0/vnK-zXkpQ5U.jpg";"Криперы 3 см.<br/>Цена: 730 грн.<br/>Размеры: 35-40<br/>Материал: искст. замша/PU<br/>Подошва: пена<br/>Высота подошвы: 3 см.<br/>Сезон: весна, лето, осень<br/>KR10019<br/>Черный";"Криперы 3 см.";730;"KR10019";" 35-40";"Черный";"<h1>Криперы 3 см.</h1><br/><b>Материал:</b> искст. замша/PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 3 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302080553";"http://cs419930.vk.me/v419930826/50fe/sEUGLV_gUBo.jpg";"Криперы 3 см.<br/>Цена: 730 грн.<br/>Размеры: 35-40<br/>Материал: искст. замша/PU<br/>Подошва: пена<br/>Высота подошвы: 3 см.<br/>Сезон: весна, лето, осень<br/>KR10019<br/>Черный";"Криперы 3 см.";730;"KR10019";" 35-40";"Черный";"<h1>Криперы 3 см.</h1><br/><b>Материал:</b> искст. замша/PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 3 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302080556";"http://cs419930.vk.me/v419930826/510e/4EmGUj2PCM0.jpg";"Криперы 3 см.<br/>Цена: 730 грн.<br/>Размеры: 35-40<br/>Материал: искст. замша/PU<br/>Подошва: пена<br/>Высота подошвы: 3 см.<br/>Сезон: весна, лето, осень<br/>KR10019<br/>Черный";"Криперы 3 см.";730;"KR10019";" 35-40";"Черный";"<h1>Криперы 3 см.</h1><br/><b>Материал:</b> искст. замша/PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 3 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302080559";"http://cs419930.vk.me/v419930826/5116/6mT_df-ywxY.jpg";"Криперы 3 см.<br/>Цена: 730 грн.<br/>Размеры: 35-40<br/>Материал: искст. замша/PU<br/>Подошва: пена<br/>Высота подошвы: 3 см.<br/>Сезон: весна, лето, осень<br/>KR10019<br/>Черный";"Криперы 3 см.";730;"KR10019";" 35-40";"Черный";"<h1>Криперы 3 см.</h1><br/><b>Материал:</b> искст. замша/PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 3 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302081116";"http://cs419930.vk.me/v419930826/519b/-8c03C63iI8.jpg";"Криперы 3 см.<br/>Цена: 730 грн.<br/>Размеры: 35-40<br/>Материал: искст. замша/PU<br/>Подошва: пена<br/>Высота подошвы: 3 см.<br/>Сезон: весна, лето, осень<br/>KR10019<br/>Черный+Белый";"Криперы 3 см.";730;"KR10019";" 35-40";"Черный+Белый";"<h1>Криперы 3 см.</h1><br/><b>Материал:</b> искст. замша/PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 3 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302081115";"http://cs419930.vk.me/v419930826/5193/g3VQcOl7TDs.jpg";"Криперы 3 см.<br/>Цена: 730 грн.<br/>Размеры: 35-40<br/>Материал: искст. замша/PU<br/>Подошва: пена<br/>Высота подошвы: 3 см.<br/>Сезон: весна, лето, осень<br/>KR10019<br/>Черный+Белый";"Криперы 3 см.";730;"KR10019";" 35-40";"Черный+Белый";"<h1>Криперы 3 см.</h1><br/><b>Материал:</b> искст. замша/PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 3 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302080560";"http://cs419930.vk.me/v419930826/511e/lj5beaaPCIw.jpg";"Криперы 3 см.<br/>Цена: 730 грн.<br/>Размеры: 35-40<br/>Материал: искст. замша/PU<br/>Подошва: пена<br/>Высота подошвы: 3 см.<br/>Сезон: весна, лето, осень<br/>KR10019<br/>Черный+Белый";"Криперы 3 см.";730;"KR10019";" 35-40";"Черный+Белый";"<h1>Криперы 3 см.</h1><br/><b>Материал:</b> искст. замша/PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 3 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_302080564";"http://cs419930.vk.me/v419930826/512e/0uYCoEnPVMQ.jpg";"Криперы 3 см.<br/>Цена: 730 грн.<br/>Размеры: 35-40<br/>Материал: искст. замша/PU<br/>Подошва: пена<br/>Высота подошвы: 3 см.<br/>Сезон: весна, лето, осень<br/>KR10019<br/>Черный+Белый";"Криперы 3 см.";730;"KR10019";" 35-40";"Черный+Белый";"<h1>Криперы 3 см.</h1><br/><b>Материал:</b> искст. замша/PU<br/><b>Подошва:</b> пена<br/><b>Высота подошвы:</b> 3 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
